Date(s),Événement / info,Horaire,Lieu
29/08/2026,Réunion de rentrée des entraîneurs,10h00,-
30/08/2026,Recyclage Entraîneurs,9h-17h,à Liévin
05/09/2026,Recyclage Arbitres du Département,à confirmer (?),-
02/09/2026 - 07/09/2026,Salle A indisponible,mer. 8h - lun. 17h,-
03/09/2026 - 07/09/2026,Salle B indisponible,jeu. 8h - lun. 17h,-
02/09/2026 - 06/09/2026,Gala de danse (pas de salle),-,-
19/09/2026,Assemblée Générale BC Saint Nicolas 2026,10h00,-
13/09/2026,Loto 4As (pas de Salle B),-,-
02/10/2026 - 03/10/2026,Randonnée Nocturne (Salle A),vendredi soir + samedi matin,-
08/10/2026 - 11/10/2026,Rail Club expo et 30 ans (Salle A et B),jeudi à dimanche,-
18/10/2026,Loto COS (pas de Salle B),-,-
17/10/2026 - 02/11/2026,Vacances de la Toussaint,-,-
24/10/2026 - 25/10/2026,Tournoi Octobre Rose (réservé),-,-
11/11/2026,Loto Foot (Salle A),-,-
19/12/2026,Arbre de Noël Foot (Salle B),-,-
19/12/2026 - 04/01/2027,Vacances de Noël,-,-
31/12/2026,Médiévo-danse du réveillon (Salle A ou B),-,-
20/02/2027 - 08/03/2027,Vacances d'hiver,-,-
17/04/2027 - 03/05/2027,Vacances de printemps,-,-
08/05/2027 - 09/05/2027,Finales Coupes Artois (à confirmer),Ascension = 6 mai 2027,-
29/05/2027,Examen arbitre (salle réservée),-,-
